Date,Expense Type,Description,Amount (BDT),Paid By
2025-05-08,Soft Drinks,,2380,Cash
2025-05-08,Gold Cash Back,9.47 M-10312,120000,Cash
2025-05-08,Coffie,Powder,450,Cash
2025-05-08,Allowence,,840,Cash
2025-05-08,Bala,Gala,300,Cash
2025-05-08,Transpurtasion,Fare,100,Cash
2025-05-08,Tish+glou,,910,Cash
2025-05-08,Card,Bank,128570,Card
2025-05-08,Card,Bank,27692,Card
2025-05-08,Card,Bank,19780,Card
2025-05-08,Home,Snacks,1020,Cash
2025-05-09,Memo Return,M-16613,12500,Cash
2025-05-09,Sujon,salary,2000,Cash
2025-05-09,Gold Cash Back,4.92,59000,Cash
2025-05-09,Water,bill,920,Cash
2025-05-09,Allowence,,740,Cash
2025-05-09,Sugar,,130,Cash
2025-05-10,Khokon Poddaar,Gold Payment,500000,Cash
2025-05-10,Gold Cash Back,10.13,119500,Cash
2025-05-10,Home,Computer Service,1500,Cash
2025-05-10,Allowence,,840,Cash
2025-05-10,Home,Snacks,250,Cash
2025-05-10,Bikash,,300,Cash
2025-05-10,Transpurtasion,Fare,80,Cash
2025-05-10,Faile+photocopy,,30,Cash
2025-05-10,Card,Bank,200000,Card
2025-05-11,Raton Driver,Salary,20000,Cash
2025-05-11,Showroome,Spot Light Repair,3700,Cash
2025-05-11,Gold Cash Back,4.16 gram,52000,Cash
2025-05-11,Babul,Jewellery Box,10000,Cash
2025-05-11,Allowence,,840,Cash
2025-05-11,Photocopy+File,Sumon,250,Cash
2025-05-11,Transpurtasion,Fare,40,Cash
2025-05-11,Card,Bank,99000,Card
2025-05-11,Card,Bank,5000,Card
2025-05-12,Iqra,Payel M-16628,56000,Cash
2025-05-12,Boss (Manik Poddar ),Gold payment Check-1470034,1000000,Cash
2025-05-12,Cofiee,Machine Repair,1450,Cash
2025-05-12,Madam,Roton,10000,Cash
2025-05-12,Mojo,Soft Drinks,7447,Cash
2025-05-12,Iqra,Canada Air Ticket,177000,Cash
2025-05-12,Allowence,,840,Cash
2025-05-12,Nilufa,certificate + Fare,250,Cash
2025-05-12,Sales,Bonus,2400,Cash
2025-05-12,Card,Bank,10879,Card
2025-05-12,Card,Bank,74250,Card
2025-05-12,Himel Poddar,Gold Payment,500000,Cash
2025-05-13,Vat,April-25,181600,Cash
2025-05-13,Labour ministry,Showroome Number entry,580,Cash
2025-05-13,Krishno,Gold Payment,20000,Cash
2025-05-13,Gold Cash Back,9.84 M-11518,111000,Cash
2025-05-13,Nipa,Bikash,1820,Cash
2025-05-13,Election Office,Sumon,230,Cash
2025-05-13,Allowence,,840,Cash
2025-05-13,Home,Snacks,1320,Cash
2025-05-13,Photocopy,,40,Cash
2025-05-15,RST,Return- 11856,100000,Cash
2025-05-15,Bisho sen,Gold Payment,100000,Cash
2025-05-15,Uttam,Gold Payment,100000,Cash
2025-05-15,Krishno,Gold Payment,100000,Cash
2025-05-15,Songkor,Gold Payment,100000,Cash
2025-05-15,Sohodev,Gold Payment,70000,Cash
2025-05-15,BAJUS,Fair (Mombay) REG:,10000,Cash
2025-05-15,Madam,Faruk,10000,Cash
2025-05-15,Vat,Compensation,10000,Cash
2025-05-15,Newspaper,Bill,250,Cash
2025-05-15,Home,Computer anti Virus Purchase,500,Cash
2025-05-15,Allowence,,740,Cash
2025-05-15,Customer,Snacks,510,Cash
2025-05-15,Photocopy,,80,Cash
2025-05-15,Transpurtasion,Fare,100,Cash
2025-05-15,Sales,Bonus,1400,Cash
2025-05-15,Card,Bank,99000,Cash
2025-05-16,Card,Bank,178020,Card
2025-05-16,Card,Bank,307500,Card
2025-05-16,Babul,Box purchase,5000,Cash
2025-05-16,Allowence,,740,Cash
2025-05-16,Pen,,90,Cash
2025-05-16,Home,Snacks,630,Cash
2025-05-16,Transpurtasion,Fare,100,Cash
2025-05-16,sales,bonus,1400,Cash
2025-05-16,Card,Bank,19800,Card
2025-05-17,Khokon Poddar,Gold Payment,1000000,Cash
2025-05-17,Himel Poddar,Gold Payment,100000,Cash
2025-05-17,Sohedev,Gold Payment,100000,Cash
2025-05-17,Nil Komol,Gold Payment,100000,Cash
2025-05-17,Allowence,,740,Cash
2025-05-17,Showroome,Grocery Item,510,Cash
2025-05-17,Card,Bank,11880,Card
2025-05-17,sales,Bonus,1050,Cash
2025-05-18,Madam,Brac Loan Account Deposit,10000,Cash
2025-05-18,Home,Electricity bill,2000,Cash
2025-05-18,Showroome,Net bill,1000,Cash
2025-05-18,Prokash,Gold payment,100000,Cash
2025-05-18,Bisho sen,Gold payment,100000,Cash
2025-05-18,Krishno,Gold payment,100000,Cash
2025-05-18,gold Cash Back,2.46 Gram,30500,Cash
2025-05-18,Showroome,Mobile recharge,500,Cash
2025-05-18,Allowence,,740,Cash
2025-05-18,Transpurtasion,Fare,90,Cash
2025-05-18,Computer Print,,10,Cash
2025-05-18,Card,Bank,21670,Card
2025-05-18,Card,Bank,28710,Card
2025-05-18,Card,Bank,29700,Card
2025-05-19,Home,Electricity Bill,5000,Cash
2025-05-19,Songkor,Gold Payment,110000,Cash
2025-05-19,Omit,Gold Payment,22000,Cash
2025-05-19,Allowence,,840,Cash
2025-05-19,Home,Snacks,1600,Cash
2025-05-19,Showroome,stationery,600,Cash
2025-05-19,Transpurtasion,fare,40,Cash
2025-05-19,Himel Poddar,Gold Paymenet,200000,Cash
2025-05-20,Madam,,40000,Cash
2025-05-20,Iqra,Anklet M-16653,110000,Cash
2025-05-20,Himel poddar,Gold Payment,400000,Cash
2025-05-20,Krishno,Gold Payment,50000,Cash
2025-05-20,Gold wastege,Gilty,500,Cash
2025-05-20,Allowence,,740,Cash
2025-05-20,Card,Bank,22770,Card
2025-05-20,Home,snacks,260,Cash
2025-05-20,Sales,bonus,1050,Cash
2025-05-21,Showroom,Maintainence Bill,53930,Cash
2025-05-21,Uttam,Gold Payment,100000,Cash
2025-05-21,Gold Cash Back,1.38,17800,Cash
2025-05-21,Purbachal Fare,Sumon,1000,Cash
2025-05-21,Allowence,,840,Cash
2025-05-21,Card,Bank,85635,Cash
2025-05-22,Sohedev,Gold Payment,100000,Cash
2025-05-22,Prokash,Gold Payment,100000,Cash
2025-05-22,Allowence,,840,Cash
2025-05-22,Card,Bank,11840,Cash
2025-05-22,Nil Komol,Gold Payment,150000,Cash
2025-05-22,Customer,"Gold Home Deliver (Demra, Konapara)",500,Cash
2025-05-23,Madam,Personal,100000,Cash
2025-05-23,Babul,jewellery Box,15000,Cash
2025-05-23,Home,Snacks,1620,Cash
2025-05-23,Balar,Gala+Fare,400,Cash
2025-05-23,Daan,,50,Cash
2025-05-23,Card,Bank,14850,Card
2025-05-23,Sales,Bonus,1200,Cash
2025-05-23,Allowence,,740,Cash
2025-05-24,Madam,Ring-16707,58000,Cash
2025-05-24,Boss (manik),Gold Payment,1500000,Cash
2025-05-24,Khokon Poddar,Gold Payment,800000,Cash
2025-05-24,Gold Cash Back,4.89,61000,Cash
2025-05-24,Showroome,Soft Drinks,10080,Cash
2025-05-24,Allowence,,740,Cash
2025-05-24,Transpurtasion,Fare,290,Cash
2025-05-24,Card,Bank,16335,Card
2025-05-24,Card,Bank,98900,Card
2025-05-25,Boss (Ashraf),Gold Payment,200000,Cash
2025-05-25,Omit Poddar,Gold Payment,100000,Cash
2025-05-25,Home,Car Parts Purchase,8700,Cash
2025-05-25,Shirt,Office assistant,4000,Cash
2025-05-25,gold cash back,3.47,43500,Cash
2025-05-25,Home,Snacks,350,Cash
2025-05-25,Allowence,,840,Cash
2025-05-25,Chair,Repair,400,Cash
2025-05-25,Transpurtasion,Fare,140,Cash
2025-05-25,Krishno,Gold Payment,20000,Cash
2025-05-26,Nil Komol,Gold Payment,100000,Cash
2025-05-26,Allowence,,840,Cash
2025-05-26,Jet Powder,,150,Cash
2025-05-26,Card,Bank,15840,Card
2025-05-26,Card,Bank,3960,Card
2025-05-27,Himel Poddar,Gold Payment,500000,Cash
2025-05-27,Uttam,Gold Payment,100000,Cash
2025-05-27,Shodev,Gold Payment,100000,Cash
2025-05-27,Allowence,,840,Cash
2025-05-28,Sonkor,Gold Payment,100000,Cash
2025-05-28,Allowence,,840,Cash
2025-05-28,Card,Bank,28215,Cash
2025-05-30,Card,Bank,49500,Cash
2025-05-30,Allowence,,740,Cash
2025-05-30,Sales,Bonus,700,Cash
2025-05-31,Khokon Poddar,Gold Payment,500000,Cash
2025-05-31,Home,Electricity bill,5000,Cash
2025-05-31,Gold cash back,10.97,126500,Cash
2025-05-31,Allowence,,840,Cash
2025-05-31,Card,Bank,7880,Card
